French,English
de,of
je,I
est,East
pas,not
le,THE
que,that
la,there
vous,YOU
tu,you
un,A
c',vs'
à,has
et,And
il,he
a,has
l',L'
ne,born
les,THE
j',I
en,in
on,we
ça,That
une,a
d',d '
ce,This
qu',that
pour,For
ai,have
n',not'
des,of the
qui,Who
mais,but
dans,In
nous,We
elle,She
me,me
bien,GOOD
si,if
du,of
y,Y
suis,am
non,No
t',t '
avec,with
tout,All
plus,more
mon,My
m',M '
te,you
au,At
fait,do
moi,Me
s',s'
oui,Yes
va,go
était,was
as,AS
faire,TO DO
ils,they
sur,on
quoi,What
se,se
comme,as
sais,know
être,be
veux,want
ici,here
ma,my
toi,You
est-ce,is it
dit,said
lui,him
votre,your
es,es
pourquoi,Why
où,Or
là,there
rien,Nothing
cette,this
sont,are
quand,When
peux,can
dire,say
son,her
avez,have
vais,go
alors,SO
ton,your
comment,how
par,by
ou,Or
chose,thing
bon,Good
ont,have
merci,THANKS
juste,just
très,very
jamais,Never
été,summer
aussi,Also
avoir,to have
vraiment,Really
voir,see
même,even
sa,her
oh,Oh
maintenant,NOW
tous,all
peut,can
deux,two
ces,these
êtes,are
allez,Go on
ta,your
autre,other
peu,little
temps,time
quelque,some
fais,do 
toujours,always
encore,Again
notre,OUR
mes,my
besoin,need
avait,had
accord,agreement
faut,must
dois,must
vie,life
peut-être,maybe
aller,go
fois,times
vu,seen
donc,SO
sans,without
monde,world
étais,is
parce,because
avant,Before
sûr,on
trop,too much
quelqu',someone
parler,talk
personne,person
avais,had
père,father
crois,believe
après,After
aux,to
dieu,God
ouais,Yeah
ses,his
pense,think
eu,eu
aime,love
leur,their
homme,man
viens,come
vrai,TRUE
femme,women
ok,OK
doit,must
veut,wanna
ans,years
m.,m.
mal,wrong
chez,at the house of
déjà,Already
depuis,Since
beaucoup,a lot
vos,your
bonne,Good
mort,dead
mieux,better
vas,go
mère,mother
sera,will be
dis,say
fille,girl
tes,your 
gens,people
quel,what
vois,see 
désolé,Sorry
ca,That
voilà,There
avons,have
petit,little
maison,House
soit,either
cela,that
autres,others
toute,all
soir,evening
passé,pass
prendre,take
jour,day
monsieur,Sir
nos,our
savoir,know
choses,things
salut,Hi
cet,this
nom,name
argent,money
bonjour,Good morning
nuit,night
raison,reason
moins,less
arrive,arrived
maman,Mom
reste,stay
moment,moment
voulais,wanted
seul,alone
aider,help
air,air
entre,between
papa,dad
passe,pass
aurais,would have
problème,issue
ah,ah
peur,fear
regarde,look at
voulez,want
gars,guys
trouvé,find
fils,son
attends,hold on
savez,know
jusqu',up to
trouver,find
trois,three
assez,enough
famille,family
dû,of
eh,eh
toutes,all
plaît,jail
pourrait,could
travail,work
pris,taken
pu,could
tête,head
quelle,what
sait,knows
sommes,are
appelle,call
quelques,a few
faites,do
partir,leave
vite,quickly
arrête,stopped
seule,alone
serait,would be
voiture,car
enfants,children
tuer,kill
merde,shit
hé,Hey
pendant,during
idée,idea
chance,chance
parle,speak
aurait,would have
part,go
elles,they
jours,days
grand,big
aujourd'hui,Today
venir,come
ami,friend
demain,tomorrow
hein,eh
tard,late
puis,Then
truc,thing
passer,pass
petite,small
tant,so much
connais,know
combien,How much
mec,dude
sens,sense
pouvez,can
porte,door
sortir,to go out
super,great
heure,hour
contre,against
coup,cut
comprends,understand
entendu,heard
vient,come
allons,let's go
ensemble,together
nouveau,new
amour,love
importe,imported
sang,blood
désolée,Sorry
cas,case
sous,below
rester,stay
amis,friends
prends,take
fini,finished
hommes,men
tué,kill
question,question
partie,part
histoire,history
devrais,should
aide,help
dernière,last
demande,request
chercher,seek
pensais,thought
genre,gender
seulement,only
police,police
car,because
mois,month
frère,brother
laisser,to leave 
aucun,none
mettre,put
eux,them
laisse,leave alone
chaque,each
ville,city
arrivé,arrived
devrait,should
parlé,speak
avez-vous,have you got
vont,are going
longtemps,a long time
aucune,none
heures,hours
bébé,baby
place,place
revoir,goodbye
putain,whore
compris,Understood
ni,neither
savais,knew
leurs,their
étaient,were
attention,attention
donner,give
affaire,affair
endroit,place
pourrais,could
corps,body
façon,way
donné,given
est-il,is it
voici,here is
train,train
dont,of which
écoute,listen
yeux,eyes
trouve,find
pouvoir,power
type,kind
perdu,lost
premier,first
première,first
côté,side
point,point
tellement,such
main,hand
tiens,hold
sois,be
enfant,child
vieux,old
matin,Morning
venu,came
pardon,pardon
là-bas,over there
suite,following
vers,towards
minutes,minutes
demandé,request
venez,come
devant,in front
dr,DR
enfin,Finally
arrêter,Stop
cause,cause
nouvelle,new
attendez,wait
chambre,bedroom
droit,right
parti,left
mis,put
eau,water
compte,account
dirait,would say
terre,earth
belle,beautiful
espère,hope
aimerais,would like to
loin,far
as-tu,Do you have
mari,husband
donne,given
fin,END
croire,believe
mme,mrs
aura,will have
gros,fat
boulot,job
plutôt,instead
chérie,Dear
prêt,ready
filles,girls
bureau,desk
mourir,die
hier,yesterday
possible,possible
jouer,play
demander,ask
celui,the one
voulait,wanted to
beau,beautiful
jeune,young
euh,uh
dehors,out
docteur,doctor
a-t-il,does he have
confiance,trust
appeler,to call
années,years
vérité,truth
école,school
chef,chief
femmes,women
propos,about
semaine,week
vivre,live
regardez,look
feu,fire
journée,daytime
madame,Mrs
hey,hey
téléphone,phone
près,close
affaires,business
meilleur,best
devez,have to
dessus,above
mains,hands
penses,thinking
prie,pray
équipe,team
vas-y,go ahead
grande,big
manger,eat
arriver,arrive
dur,hard
guerre,war
ait,has
appelé,called
marche,walk
sécurité,security
garçon,boy
essaie,try
important,important
dites,say
exactement,Exactly
font,make
fort,strong
presque,almost
plein,full
derrière,behind
ben,ben
mariage,marriage
parents,parents
capitaine,captain
dernier,last
fou,mad
ceux,those
tomber,to fall
attendre,to wait for
vue,view
pensé,think
souviens,remember
envie,envy
fête,party
jeu,game
génial,awesome
pays,country
garde,guard
cours,course
bientôt,Soon
ii,II
numéro,number
personnes,people
